priority,page_group,page_or_project,route,source_file,copy_section,copy_type,current_draft,what_i_need_from_you,example_answer,your_answer,codex_rewrite_notes
P1,Global page copy,About page,/about/,src/pages/about.astro,Hero intro paragraph,Visible body copy,"I am Christopher Abarca, a graphic designer with 10 years of experience creating identity, brand, print, environmental, and digital work. I am moving from Hawaii to Seattle and building a practice around clear visual systems, strong imagery, and practical design that can carry across many touchpoints.","Give me the natural version of your background, experience, move, and design focus.","I started in Hawaii and have worked across retail, education, media, food, healthcare, and local business. I am moving to Seattle and looking for work where identity, print, packaging, signage, and digital design overlap.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Location card copy,Visible body copy,"Graphic Designer. 10 years of experience. Open to freelance, full-time, and contract opportunities.",Confirm your exact availability and preferred title.,"Graphic Designer. 10 years of experience. Open to freelance, contract, and full-time roles.",,
P1,Global page copy,About page,/about/,src/pages/about.astro,Practice paragraph 1,Visible body copy,"I work best where a brand has to show up in more than one place. That can mean an identity system, packaging direction, poster series, storefront sign, website, or application interface. The goal is to make each piece feel connected without making every touchpoint look identical.",What kind of design problems do you enjoy most?,"I like projects where a brand needs to work across several surfaces: packaging, print, signage, web, and product screens.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Practice paragraph 2,Visible body copy,I care about the balance between structure and feeling. The structure makes the work useful. The feeling makes it worth remembering.,What design belief should feel personal to you?,"Good design needs rules, but it also needs warmth and a reason for people to remember it.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Clients headline,Visible headline,"Experience across retail, education, food, media, civic, military, healthcare, and local business.",How should we frame your client and industry experience?,"Experience across retail, education, food, media, civic organizations, healthcare, military, and local business.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Principle 1 title and text,Visible body copy,"Clarity first. The work has to be easy to understand before it can be memorable. I start by organizing the message, audience, and touchpoints.",What is one design principle you actually use?,"Start with the message. If the audience, offer, or hierarchy is unclear, the visuals will not hold up.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Principle 2 title and text,Visible body copy,"Systems over one-offs. A good visual direction should hold together across a logo, package, poster, sign, website, or app screen.",What is another principle that shows how you think?,Make rules that can flex. A good identity should have enough structure to stay recognizable and enough range to keep moving.,,
P2,Global page copy,About page,/about/,src/pages/about.astro,Principle 3 title and text,Visible body copy,"Place with restraint. Moving from Hawaii to Seattle gives the work a sense of transition, texture, and atmosphere without leaning on obvious visual cliches.","How should place, Hawaii, and Seattle show up without becoming cliche?","Place matters to me through texture, pace, materials, light, and everyday signage, not obvious tropical or Northwest cliches.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Process headline,Visible headline,A simple process for building visual systems that can keep expanding.,How do you want to describe the way you work?,"A direct process for turning loose ideas into visual systems that can be produced, extended, and maintained.",,
P2,Global page copy,About page,/about/,src/pages/about.astro,Point of view paragraph,Visible body copy,"Outside of project work, I pay attention to everyday design: storefronts, menus, posters, packaging, and the small details that make a place feel recognizable.",What personal detail beyond design feels useful and authentic?,"I notice the small designed things in daily life: grocery packaging, storefront signs, menus, posters, and how those details shape a neighborhood.",,
P1,Global page copy,About page,/about/,src/pages/about.astro,Availability headline,Visible headline,"Open to freelance, full-time, and contract opportunities in Seattle, Hawaii, and remote teams.",Confirm exactly what opportunities and locations you want to name.,"Open to freelance, contract, and full-time design opportunities in Seattle, Hawaii, and remote teams.",,
P2,Global page copy,Project template,/work/[slug]/,src/pages/work/[slug].astro,Shared chapter eyebrow,Visible microcopy,Visual system,Should this label stay broad or become something more specific?,Design system,,
P1,Global page copy,Project template,/work/[slug]/,src/pages/work/[slug].astro,Shared chapter headline,Visible headline,"Each project gets room for atmosphere, detail, process, and final work.","This is filler. Should we replace it with one strong reusable project-page line, or make it dynamic per project?","A closer look at the strategy, visual system, and applications behind the work.",,
P1,Global page copy,Project template,/work/[slug]/,src/pages/work/[slug].astro,Shared chapter paragraph,Visible body copy,"The case study format now supports a richer visual sequence, so project pages can behave more like designed stories than text pages with one cover image.",What should this repeated paragraph say before each project body?,"Each project is organized around the question it needed to solve, the system that shaped the work, and the touchpoints that show how it performs.",,
P2,Global page copy,Project template,/work/[slug]/,src/pages/work/[slug].astro,Gallery heading,Visible headline,{gallery.length} selected visual moments,Any better label for the image section?,Selected visuals,,
P3,Global page copy,Project template,/work/[slug]/,src/pages/work/[slug].astro,Related work heading,Visible headline,Continue through the archive,Any better label for related projects?,Related projects,,
P2,Global page copy,Footer,All routes,src/components/SiteFooter.astro,Footer tagline,Visible body copy,"Identity systems, print, environmental graphics, and digital experiences.",What short line should repeat at the bottom of every page?,"Graphic design across identity, packaging, print, signage, websites, and applications.",,
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Project title / naming,Visible headline,Longs Drugs Brand Revival,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Hero dek,Visible body copy,A refreshed identity and website direction for a Hawaii retail brand with deep local recognition.,"In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Card summary,Visible card copy,"A revitalized Longs Drugs identity and website system built around retail familiarity, local trust, and clearer digital navigation.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Role,Project fact,"Creative direction, identity, web, and production",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Client / context,Project fact,Longs Drugs,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Brief section,Case study body,"Refresh the Longs Drugs brand and website in a way that respects local familiarity while making the system easier to use across digital, retail, and promotional touchpoints.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Concept section,Case study body,"The direction keeps the brand recognizable while tightening typography, hierarchy, image treatment, and page structure.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,System section,Case study body,"The project can include identity rules, web page modules, promotional layouts, retail graphics, and digital navigation patterns.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Outcome section,Case study body,This case study should show how an established brand can feel clearer and more current without losing the equity people already recognize.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Cover image alt text,Accessibility copy,Retail shelves with packaged goods in a store environment.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 01 caption,Image caption,Retail recognition is treated as the foundation of the system.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 01 alt text,Accessibility copy,Retail aisle with shelves and bright store lighting.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 02 caption,Image caption,Printed touchpoints support the refreshed visual language.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 02 alt text,Accessibility copy,Printed paper materials arranged on a work surface.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 03 caption,Image caption,Website modules translate the brand into a digital experience.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 03 alt text,Accessibility copy,Laptop workspace showing digital product context.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 04 caption,Image caption,Campaign materials use a clearer hierarchy and warmer image tone.,"What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 04 alt text,Accessibility copy,Editorial tabletop with paper and warm light.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 05 caption,Image caption,"The refresh keeps the brand practical, familiar, and local.","What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Drugs Brand Revival,/work/longs-drugs-brand-revival/,src/content/projects/longs-drugs-brand-revival.mdx,Gallery 05 alt text,Accessibility copy,Market produce arranged in a retail setting.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Project title / naming,Visible headline,Longs Sans,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Hero dek,Visible body copy,"A sans serif typography study built to support retail signage, promotional messaging, and digital utility.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Card summary,Visible card copy,"A typography system for Longs Drugs that explores retail clarity, friendly utility, and consistent signage behavior.",Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Role,Project fact,"Creative direction, identity, web, and production",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Client / context,Project fact,Longs Drugs,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Brief section,Case study body,"Develop a sans serif typography direction that can support the Longs Drugs brand across signage, web, promotions, and everyday retail communication.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Concept section,Case study body,"Longs Sans is built around clarity, sturdy proportions, and a familiar retail voice.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,System section,Case study body,"The case study can show specimens, display sizes, body copy tests, signage use, and interface examples.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Outcome section,Case study body,"This page should make the type study feel like a real brand asset, not just a lettering exercise.","What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Cover image alt text,Accessibility copy,Geometric architectural surface with light and shadow.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 01 caption,Image caption,Letterform rhythm starts from simple geometric relationships.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 01 alt text,Accessibility copy,Clean architectural structure with geometric shadows.,"Once final image 1 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 02 caption,Image caption,Retail-scale forms informed signage and display use.,"What should image 2 show, and what point should the caption make?",A vertical packaging stack showing how the label hierarchy works across product sizes.,,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 02 alt text,Accessibility copy,Exterior architectural form with strong rectangular shapes.,"Once final image 2 is chosen, describe the literal image for screen readers.",Three product packages stacked vertically on a neutral background.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 03 caption,Image caption,Specimen pages show how the type behaves in print.,"What should image 3 show, and what point should the caption make?","A close detail of the mark, material, type, or interface state that explains the system at small scale.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 03 alt text,Accessibility copy,Printed paper materials and design samples.,"Once final image 3 is chosen, describe the literal image for screen readers.","Close-up of a printed label showing the logo, product name, and color-coded detail.",,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 04 caption,Image caption,"Process studies test proportion, weight, and spacing.","What should image 4 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 04 alt text,Accessibility copy,Design tools and sketches on a workspace.,"Once final image 4 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P2,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 05 caption,Image caption,Digital examples test readability across interface contexts.,"What should image 5 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
P3,Project case study,Longs Sans,/work/longs-sans/,src/content/projects/longs-sans.mdx,Gallery 05 alt text,Accessibility copy,Laptop and desk workspace for digital design.,"Once final image 5 is chosen, describe the literal image for screen readers.",Wide mockup of brand materials arranged across a table.,,Alt text should be concrete and image-specific. We can revise this after images are final.
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Project title / naming,Visible headline,Island Living Eco Goods,Confirm the title or give me any alternate names you like.,"Use Longs Drugs Brand Revival, or try Longs Drugs: Brand Revival if that feels more editorial.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Hero dek,Visible body copy,"Branding and packaging for an eco-products line built around clean utility, local warmth, and shelf clarity.","In plain language, what is this project and why should someone care?","A refreshed identity and website direction that helped a familiar local brand feel clearer, more current, and easier to navigate.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Card summary,Visible card copy,An eco-product brand and packaging system designed for warm shelf presence and practical product differentiation.,Give the shortest useful description of the project. One sentence is enough.,A brand and packaging system built to make the product family easier to understand at a glance.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Role,Project fact,"Art direction, identity, and packaging",Confirm the clean public-facing role label.,"Creative direction, identity, web, and production.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Client / context,Project fact,Island Living,"Confirm the client/context wording. If confidential, tell me how to frame it.","Longs Drugs, Self-initiated case study, or Confidential retail client.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Location,Project fact,Hawaii,Confirm the location/context if relevant.,"Hawaii, Honolulu, Remote, Concept, or Hawaii / Seattle.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Brief section,Case study body,"Create a brand and packaging language for eco products that feels local, useful, and easy to navigate.","What problem, assignment, or opportunity started the project?","The brand needed a clearer system that could work across packaging, retail signage, campaign graphics, and a website without losing familiarity.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Concept section,Case study body,"The system uses natural color, simple packaging hierarchy, and product-family logic to avoid looking generic.",What was the main creative idea or strategy?,"The concept focused on keeping the brand recognizable while tightening the hierarchy, color behavior, typography, and image language.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,System section,Case study body,"Packaging, labels, iconography, product photography, and retail touchpoints should feel like one family.","What pieces did you design, and what rules held the system together?","I developed logo usage, type hierarchy, color rules, packaging layouts, web modules, campaign pieces, and production-ready templates.",,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P1,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Outcome section,Case study body,This page should highlight the balance between sustainability cues and clear commercial packaging.,"What changed because of the work? If it was conceptual, what does the final case study prove?",The final direction shows how an established brand can become easier to use while keeping the trust and recognition people already have with it.,,"Rough facts are enough. I will rewrite for clarity, confidence, and portfolio polish."
P3,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Cover image alt text,Accessibility copy,Hands holding green plant leaves in natural light.,"Once the final cover image is chosen, describe what is literally visible in the image.","A retail shelf display with Longs Drugs packaging, red signage, and product labels arranged in rows.",,"This should be factual, not promotional. We will update it after final images are placed."
P2,Project case study,Island Living Eco Goods,/work/island-living-eco-goods/,src/content/projects/island-living-eco-goods.mdx,Gallery 01 caption,Image caption,Shelf behavior shaped the hierarchy and color system.,"What should image 1 show, and what point should the caption make?","A wide view of the full system, campaign, website, shelf set, or environmental application.",,"Captions should explain why the image matters, not just describe what is pictured."
